Scaling factor	2.6659506944613276
Bread	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.565139530132028 0.13472977929803737 0.10460597401154514 0.4364263245052997
Brinsley Schwarz	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.565139530132028 0.13472977929803737 -0.29108539702140723 -0.34158401332761307
Tim Buckley	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.565139530132028 -0.39109696971669944 -0.17622796307821242 0.18854528702019147
Revisited	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.5641108524405339 0.13964169348599484 0.10751528167110373 0.08752844837307201 0.4288343104692847
Buffalo Springfield	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.5641108524405339 0.13964169348599484 0.10751528167110373 -0.24858294006403195 -0.36023133819725667
Jimmy Buffett	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.5641108524405339 0.13964169348599484 -0.399390660773293 -0.20118313123256937 0.055964977419921805
Kate Bush	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.5641108524405339 -0.3891688226111522 -0.16690953278190673 -0.2010343469989726 0.0537908929409944
Butthole Surfers	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.5436902136660872 0.2403024842038969 0.15751217378989477 0.11768628419342848 0.09410744302953698 0.4318123344363894
John Cale	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.5436902136660872 0.2403024842038969 0.15751217378989477 0.11768628419342848 -0.26525406263190854 -0.3534945335676767
Camper Van Beethoven	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.5436902136660872 0.2403024842038969 0.15751217378989477 -0.39678236297860336 -0.19890670468171384 0.11030885619022371
Can	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.5436902136660872 0.2403024842038969 -0.3811311382815593 -0.12727691605393227 -0.16403260697058641 0.21356777684536704
Captain Beefheart	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.5436902136660872 -0.32628823647649025 0.07631625149630851 0.06574262970284184 0.0577619534554815 0.41445966410035157
Carpenters	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.5436902136660872 -0.32628823647649025 0.07631625149630851 0.06574262970284184 -0.16888369265806277 -0.38287276579478263
The Cars	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.5436902136660872 -0.32628823647649025 0.07631625149630851 -0.4031915235815537 -0.012704648217514325 -0.12926924235512904
Cheap Trick	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.5436691802517782 0.24029888521752416 0.15751066876778705 -0.39678260048864894 0.22744501332664552
Chicago	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.5436691802517782 0.24029888521752416 0.15751066876778705 0.23112614122484412 -0.39464968387191973
Eric Clapton	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.5436691802517782 0.24029888521752416 -0.38113188021246286 -0.189070831432235 -0.23014775145676422
The Dave Clark Five	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.5436691802517782 -0.32629114958720096 0.07630797486913155 0.06573650706596056 0.4184623297996546
Petula Clark	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.5436691802517782 -0.32629114958720096 0.07630797486913155 -0.1908769520387195 -0.3781507622668456
Cocteau Twins	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.5436691802517782 -0.32629114958720096 -0.4033551635758571 -0.09924364855429657 -0.11273964293690497
Leonard Cohen	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.5436483636771471 0.2402953231326305 -0.3811326145341714 0.29784936552456803
Phil Collins	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.5436483636771471 0.2402953231326305 0.11690415844703496 -0.4693716354263768
Ry Cooder	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.5436483636771471 -0.3262940327899132 0.07629978302724963 0.42359025484558305
Alice Cooper	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.5436483636771471 -0.3262940327899132 -0.21930819567331053 -0.3703434570782483
Count Five	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 0.5436277606051179 0.24029179738438725 0.4837099975262998
Cowboy Junkies	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 0.5436277606051179 -0.5306286145725911 -0.10074116831705318
