Scaling factor	2.6659506944613276
One Step Beyond	0.3635190162211566 0.261036760329884 0.20414187127726688 -0.4131794395279239 0.0050569782703413025 -0.536531282431461 0.2504759401000285 -0.37902713637956154 -0.21498079709964107 -0.21636700737947723
Viva! Hysteria: Live at The Joint, Las Vegas	0.3635190162214995 0.2610367603292097 0.20414187127661335 -0.41317943952788444 0.005056978272601414 -0.5365312824338206 0.25047594009532276 -0.37902713638085206 -0.214980797096645 -0.21636700738360784
Slang	0.36351901621908006 0.26103676032886974 0.20414187127653907 -0.41317943953356184 0.005056978275030785 -0.5365312824300437 0.25047594009966934 -0.3790271363789643 -0.21498079709913628 -0.21636700737975917
Sampler 158 Rock Hard	0.3635190162212839 0.2610367603294096 0.20414187127681832 -0.41317943953258346 0.005056978275347067 -0.536531282430385 0.25047594009007096 -0.3790271363843073 -0.2149807970984118 -0.2163670073802347
Sanremo 88	0.36351901622582405 0.2610367603317806 0.20414187127276223 -0.41317943952477704 0.005056978278065743 -0.5365312824309397 0.2504759400968865 -0.3790271363822681 -0.21498079709993784 -0.21636700738004958
Great Metal Covers, Volume 13	0.36351901622875277 0.26103676033331596 0.20414187127318972 -0.41317943953082703 0.005056978276537329 -0.5365312824273639 0.2504759400929836 -0.37902713638313845 -0.21498079709559484 -0.21636700737676376
Yeah! Unfinished and Unreleased	0.36351901622390753 0.2610367603303208 0.2041418712735271 -0.41317943952910513 0.005056978276060297 -0.5365312824307074 0.2504759400954619 -0.37902713638554036 -0.21498079709174717 -0.2163670073828397
Def Leppard	0.36351901622529903 0.26103676033128376 0.20414187127319433 -0.4131794395296689 0.005056978271452126 -0.5365312824288669 0.25047594009723234 -0.3790271363816654 -0.21498079709911952 -0.21636700737946896
Retro Active	0.3635190162207956 0.2610367603293157 0.20414187127163505 -0.4131794395335677 0.005056978278600875 -0.5365312824334802 0.2504759400942554 -0.3790271363817592 -0.21498079709521908 -0.2163670073787723
Songs From the Sparkle Lounge	0.3635190162243518 0.26103676032656115 0.20414187128074865 -0.4131794395279648 0.005056978276765717 -0.5365312824304994 0.25047594009585317 -0.3790271363818123 -0.21498079709679924 -0.21636700738344747
And There Will Be a Next Time… Live From Detroit	0.36351901622294297 0.26103676032544276 0.20414187127704694 -0.41317943952846314 0.005056978280547467 -0.536531282433536 0.2504759400957265 -0.3790271363814513 -0.21498079709858742 -0.21636700738032016
Yeah!	0.3635190162262512 0.26103676032451145 0.20414187127888325 -0.4131794395295661 0.005056978277161911 -0.5365312824319888 0.25047594009733815 -0.37902713638267044 -0.21498079709524476 -0.2163670073714372
Mirror Ball: Live & More	0.36351901622356636 0.2610367603259413 0.20414187127717237 -0.41317943952858716 0.005056978276471932 -0.536531282434585 0.25047594009836643 -0.3790271363805901 -0.21498079709185267 -0.2163670073812999
Hysteria 2013	0.3635190162268502 0.26103676032816964 0.2041418712779632 -0.41317943952928965 0.005056978273419642 -0.5365312824293745 0.2504759400939495 -0.3790271363825887 -0.21498079709638 -0.21636700738230272
Breathe a Sigh	0.3635190162228487 0.2610367603260307 0.20414187127681088 -0.4131794395283619 0.005056978272653096 -0.5365312824343975 0.25047594009511953 -0.3790271363815955 -0.21498079709778067 -0.2163670073804862
Goodbye	0.3635190162236779 0.26103676032621936 0.20414187127713299 -0.4131794395325538 0.005056978275304555 -0.5365312824313767 0.2504759400984815 -0.3790271363805883 -0.21498079709206686 -0.21636700738124137
Live: In the Round, in Your Face	0.3635190162214329 0.26103676032569567 0.20414187127626512 -0.413179439531257 0.005056978275222998 -0.5365312824331757 0.25047594009518354 -0.3790271363836746 -0.21498079709398293 -0.2163670073817627
Los Angeles 1992	0.3635190162243892 0.26103676032718237 0.20414187127407224 -0.413179439529392 0.005056978278624638 -0.5365312824327558 0.2504759400955663 -0.37902713638179397 -0.2149807970962201 -0.2163670073824695
The Freddie Mercury Tribute	0.36351901622484845 0.2610367603271531 0.204141871273957 -0.413179439529611 0.005056978275793042 -0.5365312824312749 0.2504759400953522 -0.3790271363823034 -0.214980797099945 -0.2163670073804418
Armageddon It (The Atomic mix)	0.3635190162272298 0.26103676032753254 0.2041418712739446 -0.4131794395305043 0.005056978271809056 -0.536531282430628 0.2504759400972514 -0.37902713638232166 -0.21498079709518514 -0.21636700737738426
Armageddon It	0.36351901622584093 0.2610367603255046 0.20414187127766129 -0.41317943952909086 0.005056978276395857 -0.5365312824311291 0.250475940095914 -0.37902713638219754 -0.21498079709633874 -0.2163670073821687
Two Steps Behind	0.3635190162229449 0.26103676033147627 0.2041418712781165 -0.41317943952612907 0.005056978277303032 -0.5365312824308389 0.2504759400963065 -0.3790271363848385 -0.21498079709660597 -0.21636700738023076
High ’n’ Dry	0.3635190162247443 0.2610367603323785 0.20414187127875427 -0.41317943952931835 0.005056978276931982 -0.5365312824288574 0.2504759400943904 -0.3790271363825546 -0.21498079709811738 -0.21636700737895104
Viva! Hysteria: Live at the Joint, Las Vegas	0.36351901622290655 0.26103676033080314 0.20414187127760444 -0.41317943952866004 0.005056978276543815 -0.5365312824306064 0.25047594009587903 -0.37902713638418584 -0.2149807970939415 -0.2163670073824653
1999-06-12: The Howard Stern Show: New York, NY, USA	0.3635190162223821 0.26103676033085693 0.20414187127766004 -0.4131794395286155 0.005056978276586431 -0.5365312824333086 0.25047594009508545 -0.37902713637994273 -0.21498079709783718 -0.21636700738072712
NBA2K18	0.363519016222348 0.2610367603316493 0.20414187127826508 -0.41317943952883734 0.005056978273161906 -0.5365312824319597 0.250475940099002 -0.3790271363812447 -0.21498079709465223 -0.21636700737758882
Hysteria	0.3635190162234427 0.2610367603309769 0.20414187127772196 -0.4131794395287707 0.005056978274223642 -0.5365312824313689 0.25047594009328866 -0.37902713638374597 -0.21498079709559342 -0.2163670073814098
Historia / In the Round, in Your Face: DVD Collection	0.3635190162223836 0.26103676033073797 0.20414187127756928 -0.4131794395312158 0.005056978276054884 -0.5365312824285157 0.25047594009641305 -0.37902713638392055 -0.2149807970962484 -0.21636700738111064
The Circus Comes to Town	0.36351901622154925 0.2610367603300717 0.2041418712770846 -0.4131794395305993 0.005056978275955916 -0.5365312824303698 0.25047594009514706 -0.3790271363838269 -0.21498079709671122 -0.21636700738189155
Movie Hits	0.36351901622293986 0.26103676033080736 0.20414187127760672 -0.4131794395310922 0.005056978273773121 -0.536531282429761 0.25047594009619056 -0.37902713638167945 -0.21498079709656454 -0.21636700738135645
The Metal Museum: Covered in Metal 4	0.3635190162250434 0.2610367603325663 0.20414187127551303 -0.4131794395267863 0.005056978274258706 -0.5365312824320307 0.25047594009677565 -0.37902713638285995 -0.21498079709553145 -0.21636700737751458
Top Hits U.S.A. T183	0.3635190162229835 0.26103676033150236 0.20414187127491576 -0.41317943952917086 0.0050569782765336494 -0.5365312824311864 0.25047594009902446 -0.37902713638128405 -0.21498079709765588 -0.21636700737852785
Retromania	0.3635190162255737 0.26103676033207107 0.20414187127596428 -0.4131794395295636 0.0050569782766242246 -0.5365312824317963 0.25047594009408564 -0.37902713638116353 -0.21498079709381537 -0.21636700738073614
The Lost Session	0.3635190162223916 0.26103676033052853 0.20414187127500255 -0.4131794395287495 0.005056978276321851 -0.5365312824328463 0.2504759400947497 -0.3790271363845301 -0.2149807970942427 -0.21636700738085593
Acoustic Medley 2012: Where Does Love Go When It Dies / Now / When Love and Hate Collide / Have You Ever Needed Someone So Bad / Two Steps Behind	0.3635190162233247 0.2610367603308586 0.20414187127533184 -0.4131794395289402 0.005056978274136092 -0.5365312824315751 0.2504759400950573 -0.37902713638270447 -0.2149807970978664 -0.21636700738077383
Vault: Def Leppard Greatest Hits (1980–1995)	0.36351901622313315 0.2610367603308441 0.20414187127524366 -0.4131794395312615 0.005056978275672727 -0.536531282429215 0.2504759400963551 -0.3790271363838235 -0.21498079709601145 -0.21636700738086975
The Collection: Volume One	0.36351901622364546 0.26103676033148643 0.2041418712752461 -0.4131794395320113 0.005056978275669928 -0.5365312824320414 0.25047594009292296 -0.37902713638220137 -0.2149807970951867 -0.21636700737790573
X	0.3635190162254751 0.2610367603293636 0.2041418712792465 -0.41317943952651504 0.005056978277638586 -0.536531282431912 0.2504759400971187 -0.3790271363828777 -0.21498079709551346 -0.21636700737737288
When Love and Hate Collide	0.36351901622453153 0.26103676032899165 0.2041418712786648 -0.41317943952910824 0.005056978276906698 -0.5365312824288369 0.25047594009734714 -0.3790271363849503 -0.21498079709631696 -0.2163670073783903
Hysteria (deluxe edition)	0.3635190162231323 0.2610367603283127 0.2041418712784847 -0.4131794395288488 0.005056978276889382 -0.5365312824311257 0.25047594009649055 -0.37902713638548297 -0.2149807970962747 -0.21636700737624806
Unreleased Demos & Unreleased Material	0.3635190162222452 0.2610367603280655 0.20414187127738845 -0.4131794395283851 0.005056978276484834 -0.5365312824324633 0.25047594009711033 -0.3790271363832545 -0.21498079709589535 -0.21636700738147
Let’s Get Rocked	0.36351901622443106 0.26103676032903533 0.2041418712781567 -0.41317943952893876 0.0050569782743484105 -0.5365312824294787 0.2504759400967457 -0.3790271363841601 -0.21498079709630566 -0.21636700738060344
Euphoria	0.36351901622355465 0.2610367603286804 0.20414187127766667 -0.4131794395286613 0.005056978274482501 -0.5365312824311087 0.25047594009547497 -0.37902713638411284 -0.21498079709610948 -0.21636700738152853
Vault: Greatest Hits 1980-1995	0.3635190162230604 0.2610367603284127 0.20414187127775238 -0.4131794395310294 0.005056978278385967 -0.5365312824301809 0.250475940096077 -0.3790271363839021 -0.21498079709492401 -0.21636700738076625
Etcetera	0.36351901622417954 0.2610367603289517 0.20414187127791836 -0.41317943953098224 0.005056978276292417 -0.5365312824311689 0.2504759400958837 -0.37902713638025604 -0.21498079709605356 -0.21636700738154505
Adrenalize	0.36351901622214866 0.2610367603280294 0.20414187127731837 -0.41317943953055947 0.005056978276122886 -0.5365312824325541 0.2504759400965709 -0.37902713638113456 -0.214980797096593 -0.21636700738107864
The Metal Museum: Covered in Metal 3	0.3635190162219751 0.26103676032789397 0.20414187127757025 -0.41317943953103914 0.005056978273618177 -0.5365312824317053 0.2504759400968767 -0.3790271363836907 -0.21498079709533352 -0.2163670073784908
Animal	0.3635190162249372 0.2610367603292175 0.2041418712758279 -0.41317943952925024 0.005056978279126573 -0.5365312824309572 0.2504759400967803 -0.37902713638236496 -0.21498079709756257 -0.21636700737883569
Jeffology - A Guitar Chronicle	0.36351901622386196 0.2610367603287073 0.20414187127543237 -0.4131794395290401 0.005056978276728095 -0.5365312824312233 0.25047594009893526 -0.37902713638430924 -0.21498079709508017 -0.21636700737778006
Unplugged and Unshaved	0.36351901622560323 0.26103676032948037 0.20414187127595745 -0.41317943952948394 0.0050569782769016814 -0.5365312824319322 0.25047594009395446 -0.3790271363837365 -0.21498079709640736 -0.21636700737617512
A Tribute to Freddy Mercury	0.36351901622314414 0.26103676032842255 0.20414187127528952 -0.41317943952879116 0.0050569782765909595 -0.5365312824333809 0.2504759400952243 -0.3790271363849763 -0.21498079709505663 -0.2163670073780616
Miss You in a Heartbeat	0.3635190162252358 0.26103676032941686 0.20414187127606284 -0.41317943952919634 0.005056978274464353 -0.5365312824319847 0.2504759400958595 -0.3790271363807619 -0.21498079709760193 -0.21636700737990625
Action	0.3635190162244221 0.26103676032897105 0.204141871275634 -0.41317943953196745 0.005056978278756498 -0.5365312824308557 0.2504759400966823 -0.379027136382275 -0.21498079709520443 -0.21636700737774753
In the Clubs… In Your Face	0.3635190162230764 0.2610367603284685 0.20414187127543412 -0.41317943953066794 0.005056978276026127 -0.5365312824308232 0.2504759400972825 -0.37902713638321467 -0.2149807970960987 -0.2163670073810548
The Freddie Mercury Tribute (live at Wembley '92)	0.363519016222611 0.2610367603282136 0.20414187127518887 -0.41317943953098146 0.005056978276005192 -0.5365312824331294 0.25047594009656665 -0.3790271363813796 -0.21498079709688644 -0.21636700737894468
Live, Volume 1	0.3635190162239062 0.2610367603288288 0.20414187127566666 -0.41317943953099584 0.005056978274072883 -0.5365312824322814 0.25047594009433943 -0.3790271363821164 -0.21498079709686968 -0.2163670073792635
In the Round in Your Face	0.3635190162248873 0.2610367603276815 0.20414187127633432 -0.41317943953059755 0.005056978276593787 -0.53653128243115 0.250475940096058 -0.3790271363822388 -0.2149807970961079 -0.21636700738068004
All I Want Is Everything	0.3635190162244368 0.26103676033028267 0.2041418712769693 -0.4131794395305368 0.005056978275435208 -0.5365312824310481 0.25047594009485596 -0.3790271363830775 -0.21498079709591117 -0.21636700737821243
Aerie	0.36351901621735333 0.26103676032890266 0.20414187128421166 -0.41317943953426534 0.005056978276469444 -0.5365312824288684 -0.31789807193855213 0.09939557723897949 0.08209842271134891 0.4263242612768123
Nu er det jul igen: Julemusik til hele familien	0.3635190162182868 0.2610367603293252 0.20414187127703579 -0.413179439527337 0.005056978284488044 -0.5365312824354266 -0.3178980719382823 0.09939557723942449 0.08209842271168846 0.426324261277588
Memories of a Country Boy	0.3635190162188814 0.2610367603300768 0.20414187127766809 -0.4131794395275526 0.005056978277094086 -0.5365312824292979 -0.3178980719385184 0.099395577249067 0.08209842271505241 0.4263242612799662
Hoe Sê Mens Dankie Ma	0.36351901621841354 0.26103676032934287 0.20414187127703953 -0.41317943952736186 0.005056978276801242 -0.536531282428881 -0.3178980719468284 0.09939557723645798 0.08209842271707103 0.42632426127912554
De Apres Skihut Rotterdam - Top 100	0.3635190162237225 0.2610367603303503 0.20414187127744288 -0.4131794395284437 0.005056978276597941 -0.5365312824344372 -0.3178980719406419 0.09939557723819514 0.08209842270632012 0.4263242612745209
Foute CD Van Q-Music, Volume 11	0.36351901622621535 0.2610367603314145 0.20414187127817562 -0.4131794395290392 0.005056978272795221 -0.5365312824323676 -0.31789807193706215 0.0993955772407746 0.08209842271237223 0.42632426127447337
Rocky Mountain Holiday	0.36351901622433697 0.2610367603305141 0.20414187127753297 -0.41317943952857594 0.005056978272777688 -0.5365312824315742 -0.3178980719438447 0.09939557723632551 0.08209842271116999 0.4263242612746908
1987-10-12: Live at Cedar Rapids (disc 2)	0.36351901622606353 0.261036760331421 0.20414187127819652 -0.4131794395332697 0.005056978275802751 -0.5365312824281107 -0.31789807193880165 0.09939557723634965 0.08209842271009299 0.426324261275849
Take Me Home	0.3635190162245049 0.26103676033051304 0.20414187127751549 -0.4131794395322041 0.005056978275723178 -0.5365312824312322 -0.31789807194005326 0.09939557723896845 0.08209842271458663 0.426324261273127
John Denver	0.36351901622122 0.2610367603291868 0.20414187127661987 -0.41317943953191993 0.005056978275394634 -0.5365312824339561 -0.3178980719417487 0.0993955772356693 0.08209842270956427 0.42632426127421624
Country Christmas	0.3635190162274997 0.26103676033192275 0.2041418712746971 -0.41317943952653746 0.0050569782738501936 -0.5365312824318536 -0.31789807194023517 0.09939557723978391 0.08209842271051163 0.4263242612761413
The Very Best of Christmas	0.36351901622654353 0.26103676033166423 0.20414187127400024 -0.41317943952984915 0.005056978276300705 -0.5365312824279007 -0.31789807194307584 0.09939557723620078 0.08209842271018603 0.42632426127765444
Folk Singer	0.3635190162268554 0.2610367603314473 0.20414187127491903 -0.4131794395296839 0.005056978276304026 -0.5365312824316758 -0.3178980719401587 0.0993955772364868 0.08209842271198552 0.4263242612748963
Take Me Home: The John Denver Collection	0.3635190162202328 0.26103676032922474 0.20414187127108446 -0.41317943952859126 0.00505697827577707 -0.5365312824351719 -0.3178980719416465 0.0993955772358853 0.08209842271311553 0.4263242612778496
State of the Heart, Volume 3	0.36351901622356625 0.2610367603303071 0.2041418712730981 -0.41317943952911673 0.005056978271893321 -0.5365312824325967 -0.31789807194182634 0.09939557723653399 0.08209842270828084 0.4263242612775584
Seine großen Erfolge	0.3635190162225617 0.26103676032993145 0.20414187127260486 -0.4131794395333188 0.005056978273985558 -0.5365312824326156 -0.31789807193765207 0.09939557723576839 0.08209842271043374 0.4263242612774982
Best Live	0.363519016228084 0.26103676032830986 0.2041418712784885 -0.41317943952627184 0.005056978277677486 -0.5365312824316333 -0.31789807194008557 0.09939557724005454 0.08209842271019877 0.42632426127661127
White Christmas: Die schönsten amerikanischen Weihnachtslieder	0.3635190162283869 0.2610367603284859 0.2041418712785711 -0.4131794395297088 0.005056978276827969 -0.5365312824287282 -0.31789807193928904 0.09939557724051866 0.08209842270961003 0.42632426127717205
Christmas: The Ultimate Guide to the Festive Season	0.3635190162232949 0.2610367603243048 0.20414187127758235 -0.4131794395287098 0.005056978276709754 -0.5365312824305921 -0.3178980719393939 0.09939557723975127 0.08209842270574848 0.4263242612824941
Classical Voices	0.363519016222289 0.26103676032438744 0.2041418712770896 -0.4131794395283993 0.005056978276529478 -0.5365312824357029 -0.3178980719356676 0.09939557724080865 0.08209842271250435 0.42632426127907097
Knuffelrock Top 100	0.3635190162258647 0.2610367603260543 0.20414187127819938 -0.41317943952925884 0.005056978271261659 -0.5365312824278902 -0.31789807193863256 0.09939557724057795 0.08209842271255245 0.426324261281411
200 Partyhits	0.36351901622422167 0.2610367603261531 0.2041418712774064 -0.4131794395287563 0.005056978272158071 -0.5365312824320476 -0.31789807194086467 0.09939557723818651 0.082098422706766 0.42632426127905887
Sunshine on My Shoulders	0.3635190162245696 0.2610367603271799 0.2041418712772314 -0.4131794395319066 0.005056978278521573 -0.536531282432966 -0.31789807193966874 0.09939557723924684 0.08209842271053323 0.4263242612745532
A Merry Christmas (disc 1)	0.3635190162252474 0.2610367603276258 0.20414187127739924 -0.41317943953185365 0.00505697827560553 -0.5365312824315489 -0.3178980719403259 0.09939557724162928 0.08209842271076978 0.4263242612745136
The Essential John Denver	0.3635190162232337 0.2610367603256351 0.20414187127711855 -0.4131794395330396 0.0050569782710960225 -0.5365312824299631 -0.31789807193916336 0.09939557723946413 0.08209842271174413 0.4263242612787944
Rocky Mountain Christmas	0.3635190162233952 0.26103676032561846 0.20414187127252859 -0.41317943952966035 0.005056978279888358 -0.5365312824338373 -0.317898071939477 0.09939557723931462 0.08209842271163845 0.42632426127890893
Montana Christmas Skies	0.3635190162243333 0.2610367603261154 0.2041418712729066 -0.41317943952985375 0.005056978275657361 -0.5365312824314695 -0.3178980719402014 0.09939557724319881 0.08209842270871841 0.426324261279643
The Very Best of John Denver	0.3635190162242346 0.2610367603266038 0.2041418712734626 -0.41317943952958675 0.005056978275708759 -0.536531282434725 -0.3178980719383804 0.09939557723997944 0.08209842270868649 0.426324261277867
111 More Classic Tracks	0.36351901622386545 0.26103676032604256 0.20414187127291095 -0.4131794395337576 0.005056978277512124 -0.5365312824300499 -0.31789807193921255 0.09939557723957174 0.08209842271182885 0.4263242612791608
Alan Jones Presents: Songs of Love and Inspiration (disc 1)	0.36351901622139765 0.26103676033281353 0.20414187127756828 -0.4131794395311862 0.005056978275269501 -0.5365312824314992 -0.317898071940608 0.09939557723796104 0.08209842271110578 0.4263242612759089
Die Oldie‐WM	0.36351901622374166 0.2610367603318772 0.2041418712784 -0.413179439526293 0.005056978274234361 -0.5365312824314037 -0.31789807193997854 0.09939557723972554 0.08209842270936124 0.4263242612791485
I miti musica: John Denver	0.36351901622334065 0.2610367603317463 0.20414187127831138 -0.4131794395289782 0.005056978276809524 -0.5365312824283204 -0.3178980719422276 0.09939557723985903 0.08209842270928738 0.4263242612791346
Pure Celtic Chill	0.3635190162211836 0.26103676033129664 0.2041418712780286 -0.41317943952860414 0.005056978276780374 -0.536531282430681 -0.31789807193947783 0.09939557723592149 0.08209842271433083 0.4263242612804394
ぐっすり眠れるα波 ～ ジブリ プレミアム・オルゴール・ベスト	0.36351901622144817 0.2610367603309674 0.20414187127777025 -0.4131794395285405 0.005056978276666812 -0.5365312824338568 -0.3178980719372411 0.09939557724032477 0.08209842270913431 0.42632426127853457
Forever Country	0.36351901622223937 0.26103676033059764 0.20414187127746633 -0.4131794395285254 0.0050569782765145475 -0.5365312824329216 -0.3178980719423895 0.0993955772394689 0.08209842271266046 0.4263242612755722
ぐっすり眠れるα波 ～ ジブリ ピアノ・ベスト	0.3635190162240851 0.26103676033131734 0.20414187127796363 -0.4131794395289409 0.0050569782742372945 -0.5365312824316589 -0.3178980719402767 0.09939557724142022 0.08209842271097612 0.4263242612760494
Fetenkult: Oktoberfest 2012	0.36351901622321786 0.26103676033097295 0.2041418712777252 -0.4131794395287439 0.005056978274123324 -0.5365312824336348 -0.31789807193916025 0.09939557723747398 0.08209842271097827 0.42632426127654205
Fetenkult: Oktoberfest 2014	0.363519016221218 0.26103676033090534 0.20414187127772934 -0.4131794395319208 0.005056978276015608 -0.5365312824278731 -0.31789807194196246 0.09939557723948315 0.0820984227117671 0.4263242612791927
The Best Music Box Collection from STUDIO GHIBLI FILMS	0.3635190162204852 0.26103676033055373 0.2041418712774817 -0.41317943953171254 0.005056978275949737 -0.536531282430686 -0.3178980719396491 0.09939557723588094 0.08209842271315444 0.42632426127912537
Joy to the World 3	0.36351901622234717 0.26103676033042067 0.20414187127732844 -0.4131794395307778 0.005056978276024588 -0.5365312824328481 -0.3178980719407375 0.09939557724002929 0.08209842271165366 0.42632426127500966
Cherry Picked	0.36351901622264976 0.26103676033058165 0.2041418712774427 -0.4131794395308863 0.005056978273842685 -0.5365312824319078 -0.31789807194105196 0.09939557723750331 0.08209842271058583 0.4263242612762466
スタジオジブリの歌 オルゴール	0.36351901622260674 0.26103676033107837 0.20414187127489525 -0.4131794395289796 0.005056978279008307 -0.5365312824329768 -0.31789807193960196 0.09939557723951879 0.08209842270942373 0.42632426127814477
Lover's Romance vol. 12	0.363519016222191 0.26103676033128703 0.20414187127461092 -0.41317943952903446 0.005056978276496574 -0.5365312824309736 -0.31789807193970027 0.09939557724258768 0.08209842270960335 0.4263242612799282
Loving Ways	0.3635190162242553 0.2610367603313073 0.20414187127561406 -0.4131794395291773 0.005056978276470714 -0.5365312824311835 -0.3178980719421032 0.09939557723868284 0.082098422709239 0.42632426127704454
Legendes Van Gister Tot Nou	0.3635190162234745 0.26103676033098894 0.2041418712753548 -0.4131794395290012 0.005056978276410146 -0.5365312824332127 -0.317898071940546 0.09939557723671301 0.08209842271039386 0.4263242612770238
Heart2Heart	0.36351901622374333 0.2610367603311786 0.20414187127541308 -0.4131794395290933 0.005056978274054998 -0.5365312824318692 -0.3178980719405776 0.09939557724105604 0.08209842270938927 0.4263242612773932
The Country Roads Collection	0.3635190162234972 0.26103676033101897 0.2041418712753543 -0.4131794395313663 0.005056978277948023 -0.5365312824304163 -0.3178980719416538 0.0993955772385801 0.08209842271142084 0.4263242612767233
The Unplugged Collection	0.36351901622070676 0.26103676033039014 0.20414187127423097 -0.4131794395316446 0.0050569782753873286 -0.5365312824311353 -0.3178980719401567 0.0993955772414281 0.08209842271245398 0.42632426127873224
Poems, Prayers and Promises & Farewell Andromeda	0.36351901622311583 0.2610367603309642 0.2041418712751887 -0.41317943953145175 0.00505697827343902 -0.536531282430838 -0.31789807193968533 0.09939557723942562 0.08209842270971292 0.4263242612781259
So Fresh Songs for Christmas 2004	0.363519016223233 0.2610367603284301 0.20414187127813027 -0.4131794395263303 0.005056978277190159 -0.5365312824334537 -0.31789807194076025 0.09939557723851974 0.08209842271066985 0.42632426127882966
My Dream Duets	0.363519016225935 0.26103676032969353 0.20414187127873384 -0.41317943952933445 0.005056978276879344 -0.5365312824295723 -0.31789807193955244 0.09939557723785618 0.08209842271078457 0.42632426127866796
ZDF - Die schönsten Weihnachts-Hits	0.3635190162256825 0.26103676032963813 0.20414187127834144 -0.41317943952917796 0.005056978276731979 -0.5365312824314529 -0.317898071939964 0.09939557723978694 0.08209842271065555 0.4263242612764041
Country Roads Volume 1	0.36351901622426214 0.2610367603289596 0.2041418712781012 -0.41317943952889713 0.005056978276691401 -0.5365312824310517 -0.3178980719420602 0.09939557723688965 0.08209842271301064 0.4263242612774194
Country Roads Volume 2	0.3635190162231478 0.26103676032843787 0.2041418712778563 -0.4131794395286596 0.005056978276636936 -0.536531282433186 -0.317898071940241 0.09939557723668514 0.0820984227135102 0.4263242612775758
Country Roads Volume 3	0.36351901622448607 0.2610367603290256 0.20414187127835876 -0.4131794395290083 0.0050569782741710445 -0.5365312824318639 -0.3178980719379349 0.09939557723783639 0.08209842270980477 0.4263242612792914
Country Roads Volume 4	0.36351901622316884 0.2610367603284419 0.2041418712778918 -0.4131794395286735 0.005056978274106777 -0.5365312824313085 -0.3178980719424261 0.09939557723777864 0.08209842270974449 0.426324261278736
Country Roads Volume 5	0.36351901622115673 0.26103676032748296 0.2041418712775397 -0.4131794395312281 0.0050569782787764595 -0.5365312824324904 -0.31789807193935565 0.09939557723930356 0.08209842271162185 0.4263242612785404
Country Roads, Volume 6	0.36351901622188804 0.26103676032781326 0.20414187127776537 -0.4131794395313967 0.005056978276199319 -0.5365312824307769 -0.31789807193964836 0.0993955772419708 0.08209842270974267 0.4263242612791558
Country Roads Volume 7	0.36351901622404365 0.2610367603289028 0.20414187127780967 -0.41317943953083736 0.00505697827626823 -0.536531282431061 -0.31789807194179315 0.09939557723850065 0.08209842270997181 0.426324261276476
Country Roads Volume 8	0.36351901622485366 0.2610367603292508 0.20414187127815503 -0.4131794395311864 0.0050569782742448605 -0.5365312824302284 -0.31789807193949854 0.09939557723983261 0.08209842271047581 0.4263242612773735
Country Roads Volume 9	0.36351901622283794 0.26103676032831874 0.20414187127764874 -0.4131794395326338 0.0050569782760387615 -0.5365312824309387 -0.31789807193980174 0.09939557723917708 0.08209842270979921 0.4263242612775431
Country Roads, Volume 10	0.3635190162246866 0.26103676032917467 0.2041418712759008 -0.4131794395290531 0.005056978278515037 -0.5365312824328384 -0.31789807193982084 0.09939557723961855 0.08209842271076238 0.42632426127712475
Country Roads Volume 12	0.3635190162235057 0.26103676032854584 0.20414187127531777 -0.41317943952895575 0.005056978276698941 -0.5365312824310908 -0.31789807193974373 0.09939557724230673 0.08209842270995943 0.42632426128029033
Forever Friends: Always and Forever	0.363519016222479 0.26103676032807327 0.2041418712749717 -0.4131794395287268 0.005056978276629123 -0.5365312824307371 -0.31789807194247816 0.09939557723859174 0.08209842271089154 0.4263242612808935
Rocky Mountain High	0.3635190162228515 0.2610367603282921 0.20414187127520014 -0.41317943952871755 0.005056978276562765 -0.5365312824332535 -0.31789807194033176 0.09939557723878169 0.08209842270885355 0.42632426127933815
Christmas Classics: Rockin’ Around Christmas	0.3635190162243948 0.2610367603289893 0.20414187127569167 -0.4131794395290875 0.00505697827412423 -0.5365312824319446 -0.3178980719380484 0.09939557724033342 0.08209842270991034 0.4263242612798239
The Voice of Peace	0.36351901622457944 0.2610367603291461 0.20414187127590966 -0.4131794395289889 0.005056978274543 -0.5365312824315901 -0.3178980719420933 0.0993955772399185 0.08209842271029491 0.4263242612773177
Thank God I'm a Country Boy: His Greatest Hits	0.36351901622372085 0.26103676032874085 0.2041418712755986 -0.4131794395309924 0.005056978278075603 -0.5365312824324993 -0.3178980719397264 0.09939557723763523 0.08209842271120973 0.4263242612773626
Annie's Song: A Collection of His Finest Recordings	0.3635190162221976 0.2610367603279734 0.2041418712749413 -0.41317943953138864 0.0050569782759925285 -0.5365312824309897 -0.31789807193983194 0.0993955772391726 0.08209842271407233 0.4263242612796571
VOX: Christmas Classics	0.36351901622399874 0.26103676032889006 0.2041418712757385 -0.4131794395308336 0.005056978276103921 -0.5365312824330359 -0.3178980719389491 0.09939557723978906 0.08209842271215198 0.426324261276466
Let Freedom Ring	0.3635190162243574 0.2610367603290541 0.20414187127585712 -0.41317943953089686 0.005056978274259215 -0.5365312824322592 -0.3178980719392936 0.09939557723790506 0.08209842271093756 0.4263242612773677
Qmusic: Het Beste Uit De Top 1000 - 2016	0.3635190162228403 0.26103676032956363 0.20414187127646558 -0.41317943953014996 0.00505697827529593 -0.5365312824304374 -0.317898071941316 0.09939557723896854 0.08209842271125939 0.4263242612792783
